a, SPS00
aC, RG
abaltidament, RG
abandonadament, RG
abans, RG
abans-d'ahir, RG
abarrocadament, RG
abassegadorament, RG
abatudament, RG
abdicativament, RG
aberrantment, RG
abintestat, RG
abismalment, RG
abjectament, RG
abnegadament, RG
abocadament, RG
abominablement, RG
aboralment, RG
abrahàmicament, RG
abrandadament, RG
abraonadament, RG
abrasivament, RG
abreujadament, RG
abreviadament, RG
abrivadament, RG
abruptament, RG
abrusadorament, RG
absolutament, RG
absorbentment, RG
abstinentment, RG
abstractament, RG
abstractivament, RG
abstretament, RG
abstrusament, RG
absurdament, RG
abundantment, RG
abundosament, RG
aburgesadament, RG
abusivament, RG
abúlicament, RG
acabadament, RG
acabat, RG
acadèmicament, RG
acaloradament, RG
acariciadorament, RG
acarnissadament, RG
acaronadorament, RG
acceleradament, RG
accentuadament, RG
acceptablement, RG
accessòriament, RG
accidentalment, RG
accidiosament, RG
accionarialment, RG
acerbament, RG
acidimètricament, RG
acientíficament, RG
aciençadament, RG
aclaparadorament, RG
aclaridorament, RG
acollidorament, RG
acoloridament, RG
acomodadament, RG
acomplidament, RG
aconhortadament, RG
acordadament, RG
acostadament, RG
acostumadament, RG
acreditadament, RG
acrement, RG
acrobàticament, RG
acríticament, RG
activament, RG
actualment, RG
actuarialment, RG
acuitadament, RG
acumuladament, RG
acumulativament, RG
acuradament, RG
acusadament, RG
acusadorament, RG
acèrrimament, RG
ací, RG
acústicament, RG
adaptativament, RG
addicionalment, RG
additivament, RG
adeleradament, RG
adelitadament, RG
adequadament, RG
adesiara, RG
adeu, I
adeu-siau, I
adhesivament, RG
adiabàticament, RG
adientment, RG
adjectivament, RG
administrativament, RG
admirablement, RG
admirativament, RG
admonitòriament, RG
adoloradament, RG
adoloridament, RG
adoptivament, RG
adorablement, RG
adotzenadament, RG
adquisitivament, RG
aduladorament, RG
adulatòriament, RG
adulterinament, RG
adustament, RG
adventíciament, RG
adverbialment, RG
adversament, RG
advertidament, RG
adés, RG
adéu, I
adéu-siau, I
aerodinàmicament, RG
aeròbicament, RG
afablement, RG
afalagadorament, RG
afamadament, RG
afanyadament, RG
afanyosament, RG
afectadament, RG
afectivament, RG
afectuosament, RG
afeixugadament, RG
aferrissadament, RG
afinadament, RG
afirmativament, RG
afligidament, RG
afortunadament, RG
afrancesadament, RG
afrontosament, RG
agermanadament, RG
agitadament, RG
agnatíciament, RG
agosaradament, RG
agradablement, RG
agradosament, RG
agrament, RG
agraïdament, RG
agregadament, RG
agressivament, RG
agronòmicament, RG
agrícolament, RG
agudament, RG
aguditzadament, RG
agònicament, RG
ah, I
ahir, RG
ahí, RG
ai, I
airosament, RG
aitambé, RG
aitampoc, RG
aitan, RG
aitant, RG
aitantost, RG
aixa, I
aixà, RG
així, RG
ajornadament, RG
ajustadament, RG
al, SP+DA
alambinadament, RG
alarmantment, RG
alcohòlicament, RG
aleatòriament, RG
alegrement, RG
alentidament, RG
alerta, RG
aleshores, RG
alfabèticament, RG
alfanumèricament, RG
algebraicament, RG
algorísmicament, RG
algèbricament, RG
alhora, RG
alienadament, RG
alienament, RG
alimentàriament, RG
allargassadament, RG
allegretto, RG
allegro, RG
alleradament, RG
allunyadament, RG
allà, RG
allèn, RG
allén, RG
allí, RG
almanco, RG
almenys, RG
almon, RG
almón, RG
alquímicament, RG
als, SP+DA
alt, RG
altament, RG
alteradament, RG
alternadament, RG
alternativament, RG
alterosament, RG
altimètricament, RG
altivament, RG
alto, I
altrament, RG
altressí, RG
altruistament, RG
altíssimament, RG
altívolament, RG
al·legòricament, RG
al·leluia, I
al·lucinadament, RG
al·lucinantment, RG
alça, I
amablement, RG
amagadament, RG
amaneradament, RG
amargament, RG
amargosament, RG
amatentment, RG
amb, SPS00
ambiciosament, RG
ambientalment, RG
ambiguament, RG
ambulatòriament, RG
amenament, RG
amenaçadorament, RG
amicalment, RG
amigablement, RG
amistosament, RG
amoixadorament, RG
amonestadorament, RG
amorosament, RG
amorosidament, RG
amotinadament, RG
amoïnadament, RG
amoïnadorament, RG
amoïnosament, RG
amplament, RG
amplificadament, RG
ampul·losament, RG
amunt, I
amunt, RG
amén, I
anacrònicament, RG
anaeròbicament, RG
anagramàticament, RG
anagògicament, RG
analment, RG
analíticament, RG
analògicament, RG
anatòmicament, RG
anc, RG
ancestralment, RG
andante, RG
andantino, RG
anecdòticament, RG
anfractuosament, RG
angelicalment, RG
angiogràficament, RG
angoixadament, RG
angoixantment, RG
angoixosament, RG
angularment, RG
angulosament, RG
anguniosament, RG
angèlicament, RG
anhelosament, RG
animadament, RG
animalment, RG
animosament, RG
anit, RG
anivelladament, RG
anormalment, RG
ans, CC
ans, RG
ansiosament, RG
antagònicament, RG
antany, RG
antanyasses, RG
antecedentment, RG
anteriorment, RG
anticipadament, RG
anticonstitucionalment, RG
antidemocràticament, RG
antiesportivament, RG
antifràsticament, RG
antigament, RG
antigènicament, RG
antiintuïtivament, RG
antinaturalment, RG
antiparal·lelament, RG
antipàticament, RG
antireglamentàriament, RG
antisocialment, RG
antisèpticament, RG
antitèticament, RG
antiutòpicament, RG
antonomàsticament, RG
antropològicament, RG
anualment, RG
anyalment, RG
anàlogament, RG
anàrquicament, RG
anèmicament, RG
anímicament, RG
anòdicament, RG
anòmalament, RG
anònimament, RG
apa, I
apagadament, RG
aparatosament, RG
aparelladament, RG
aparentment, RG
apartadament, RG
apassionadament, RG
apassionantment, RG
apaïsadament, RG
apegalosament, RG
apesaradament, RG
apetitosament, RG
apicalment, RG
apinyadament, RG
aplicadament, RG
aplomadament, RG
apocadament, RG
apocalípticament, RG
apodícticament, RG
apologèticament, RG
apoplècticament, RG
apostàticament, RG
apostòlicament, RG
apoteòsicament, RG
apreciablement, RG
apreciativament, RG
aprensivament, RG
apressadament, RG
aprimoradament, RG
apriorísticament, RG
aprofundidament, RG
apropiadament, RG
aprovadorament, RG
aprovativament, RG
aprovatòriament, RG
aproximadament, RG
aproximativament, RG
aprés, RG
aptament, RG
apàticament, RG
apòcrifament, RG
aqueferadament, RG
aquàticament, RG
aquèn, RG
aquén, RG
aquí, RG
ara, CC
ara, RG
arbitralment, RG
arbitràriament, RG
ardentment, RG
ardidament, RG
ardorosament, RG
arealment, RG
argentadament, RG
argentinament, RG
arguciosament, RG
argumentalment, RG
aristocràticament, RG
aritmèticament, RG
aromàticament, RG
arpelludament, RG
arqueològicament, RG
arquetípicament, RG
arquitectònicament, RG
arran, RG
arran, SPS00
arrauxadament, RG
arravatadament, RG
arre, I
arredonidament, RG
arregladament, RG
arreladament, RG
arremolinadament, RG
arrengleradament, RG
arrere, RG
arreu, RG
arri, I
arriscadament, RG
arrodonidament, RG
arrogantment, RG
arrossinadament, RG
arruix, I
arrítmicament, RG
arterament, RG
arterosament, RG
artesanalment, RG
artesanament, RG
articuladament, RG
articulatòriament, RG
artificialment, RG
artificiosament, RG
artríticament, RG
artísticament, RG
ascendentment, RG
ascèticament, RG
asexuadament, RG
asexualment, RG
asimptòticament, RG
asimètricament, RG
asmàticament, RG
asprament, RG
asprivament, RG
asprosament, RG
assedegadament, RG
asseguradament, RG
assenyadament, RG
assenyaladament, RG
assertivament, RG
assistencialment, RG
associativament, RG
assossegadament, RG
assumadament, RG
assíduament, RG
astoradament, RG
astoradorament, RG
astralment, RG
astrològicament, RG
astronòmicament, RG
astuciosament, RG
astutament, RG
asèpticament, RG
atabaladament, RG
ataleiadament, RG
atapeïdament, RG
atapidament, RG
atarantadament, RG
atenció, I
atentament, RG
atenuadament, RG
aterradament, RG
aterridorament, RG
atlèticament, RG
atmosfèricament, RG
atordidament, RG
atordidorament, RG
atorrolladament, RG
atractivament, RG
atrafegadament, RG
atressí, RG
atrevidament, RG
atriboladament, RG
atributivament, RG
atronadorament, RG
atropelladament, RG
atrotinadament, RG
atroçment, RG
atuïdorament, RG
atxem, I
atxim, I
atzarosament, RG
atàvicament, RG
atípicament, RG
atòmicament, RG
au, I
audaciosament, RG
audaçment, RG
audiblement, RG
audiovisualment, RG
auditivament, RG
augustament, RG
ausades, RG
austerament, RG
autocràticament, RG
autocríticament, RG
autodidàcticament, RG
autogestionadament, RG
automàticament, RG
autonòmicament, RG
autoproclamadament, RG
autoritzadament, RG
autoritàriament, RG
autàrquicament, RG
autènticament, RG
autònomament, RG
avall, RG
avalotadament, RG
avaluativament, RG
avant, RG
avantatjosament, RG
avarament, RG
avariciosament, RG
aventurerament, RG
avergonyidament, RG
aviadíssim, RG
aviat, RG
avinentment, RG
avisadament, RG
avorriblement, RG
avorridament, RG
avorridorament, RG
avui, RG
axialment, RG
axiològicament, RG
axiomàticament, RG
axènicament, RG
aèriament, RG
aïlladament, RG
aïradament, RG
bacteriològicament, RG
bacterioscòpicament, RG
bacteriostàticament, RG
badocament, RG
bah, I
baix, RG
baixament, RG
bajanament, RG
baladrerament, RG
balandrim-balandram, RG
balbament, RG
baldament, CC
balderament, RG
balsàmicament, RG
banalment, RG
banzim-banzam, RG
baratament, RG
barbàricament, RG
barceloninament, RG
baronívolament, RG
barrim-barram, RG
barrip-barrap, RG
barrocament, RG
barroerament, RG
basalment, RG
basardosament, RG
bascosament, RG
bastant, RG
bastantment, RG
batimètricament, RG
bavosament, RG
beatament, RG
beatíficament, RG
bellament, RG
bel·licorosament, RG
bel·licosament, RG
bel·ligerantment, RG
ben, RG
benauradament, RG
benaventuradament, RG
benaventurosament, RG
benefactorament, RG
beneficiosament, RG
beneitament, RG
benhagen, I
benhages, I
benhaja, I
benhumoradament, RG
benignament, RG
benintencionadament, RG
benvolentment, RG
benèficament, RG
benèvolament, RG
beníssim, RG
bestialment, RG
bianualment, RG
bibliogràficament, RG
bidireccionalment, RG
biennalment, RG
bifacialment, RG
bifocalment, RG
bigarradament, RG
bilateralment, RG
bimensualment, RG
bioclimàticament, RG
biogeogràficament, RG
biogràficament, RG
biològicament, RG
biomètricament, RG
bioquímicament, RG
biotecnològicament, RG
bis, RG
bisexualment, RG
bitllo-bitllo, RG
bitlo-bitlo, RG
blanament, RG
blancament, RG
blanquinosament, RG
bledanament, RG
bo, I
boccaccescament, RG
boirosament, RG
bojalment, RG
bojament, RG
bona, I
bonament, RG
bondadosament, RG
bonhomiosament, RG
bonicament, RG
borrascosament, RG
borratxament, RG
borrosament, RG
borruix-borruix, RG
botànicament, RG
bovinament, RG
boxísticament, RG
braument, RG
bravament, RG
bravo, I
bregosament, RG
breument, RG
brillantment, RG
briosament, RG
brogidosament, RG
bruscament, RG
brut, RG
brutalment, RG
brutament, RG
bròfegament, RG
bufa, I
bulliciosament, RG
bulímicament, RG
burgesament, RG
burlanerament, RG
burlescament, RG
burletament, RG
burocràticament, RG
bàrbarament, RG
bàsicament, RG
bèl·licament, RG
bé, CC
bé, I
bé, RG
bíblicament, RG
ca, I
cabalment, RG
cabalísticament, RG
cabdalment, RG
cadavèricament, RG
cadenciosament, RG
caducament, RG
calamitosament, RG
calculadament, RG
calculadorament, RG
calladament, RG
calmadament, RG
calmament, RG
calmosament, RG
calmudament, RG
calorosament, RG
calumniosament, RG
camufladament, RG
cancellerescament, RG
cancerígenament, RG
candorosament, RG
caninament, RG
cansadament, RG
cantelludament, RG
canviàriament, RG
cançonerament, RG
caníbalment, RG
canònicament, RG
cap, SPS00
capaçment, RG
capciosament, RG
capil·larment, RG
capitalment, RG
capitularment, RG
capriciosament, RG
capritxosament, RG
car, CC
car, RG
característicament, RG
carai, I
caraina, I
carall, I
caram, I
carament, RG
carat, I
caratso, I
caratxos, I
caricaturescament, RG
caritativament, RG
carnalment, RG
carnisserament, RG
carnívorament, RG
carregosament, RG
carrinclonament, RG
cartogràficament, RG
casolanament, RG
castament, RG
castellerament, RG
castissament, RG
casualment, RG
casuísticament, RG
catalanament, RG
catalèpticament, RG
catalíticament, RG
catastròficament, RG
catatònicament, RG
categorialment, RG
categòricament, RG
catso, I
catsoleta, I
catòlicament, RG
causalment, RG
cautament, RG
cautelarment, RG
cautelosament, RG
cavallerescament, RG
cavallerosament, RG
cavallerívolament, RG
cavernosament, RG
cavil·losament, RG
caòticament, RG
cegament, RG
celadament, RG
celestement, RG
celestialment, RG
centenàriament, RG
centralitzadament, RG
centralment, RG
centrífugament, RG
centrípetament, RG
cenyidament, RG
cerebralment, RG
cerimonialment, RG
cerimoniosament, RG
certament, RG
cesàriament, RG
cibernèticament, RG
cientment, RG
científicament, RG
cilíndricament, RG
cinegèticament, RG
cinematogràficament, RG
cinestèsicament, RG
cinèticament, RG
circa, RG
circularment, RG
circumspectament, RG
circumstanciadament, RG
circumstancialment, RG
cismàticament, RG
ciutadanament, RG
civilitzadament, RG
civilment, RG
clamorosament, RG
clandestinament, RG
clar, RG
clarament, RG
claríssimament, RG
clementment, RG
clericalment, RG
climatològicament, RG
climàticament, RG
clàssicament, RG
clínicament, RG
clònicament, RG
coactivament, RG
coaxialment, RG
cobdiciosament, RG
cobejosament, RG
cobertament, RG
coercitivament, RG
coetàniament, RG
cofoiament, RG
cognitivament, RG
cognoscitivament, RG
coherentment, RG
cohesionadament, RG
cohibidament, RG
coincidentment, RG
coixim-coixam, RG
collonudament, RG
colorimètricament, RG
colorísticament, RG
colossalment, RG
colpidorament, RG
col·laborativament, RG
col·lateralment, RG
col·lectivament, RG
col·legiadament, RG
col·legialment, RG
col·loquialment, RG
colèricament, RG
com, I
com, CC
com, RG
comanament, RG
comarcalment, RG
combativament, RG
combinadament, RG
comercialment, RG
commiserativament, RG
commovedorament, RG
compactament, RG
comparablement, RG
comparativament, RG
compartidament, RG
compassadament, RG
compassivament, RG
compatiblement, RG
compendiosament, RG
competencialment, RG
competentment, RG
competitivament, RG
complaentment, RG
complagudament, RG
complementàriament, RG
completament, RG
completivament, RG
complexament, RG
complicadament, RG
complidament, RG
complimentosament, RG
comportablement, RG
composicionalment, RG
compostament, RG
comprensiblement, RG
comprensivament, RG
compromesament, RG
comprometedorament, RG
comprovadament, RG
comptablement, RG
compulsivament, RG
compungidament, RG
computacionalment, RG
comsevulla, RG
comunalment, RG
comunament, RG
comunicativament, RG
comunitàriament, RG
concebiblement, RG
concentradament, RG
conceptualment, RG
conceptuosament, RG
concertadament, RG
conciliablement, RG
conciliadorament, RG
conciliarment, RG
conciliatòriament, RG
concisament, RG
concitadament, RG
concloentment, RG
conclusivament, RG
concomitantment, RG
concordadament, RG
concordantment, RG
concordement, RG
concretament, RG
concupiscentment, RG
concurrentment, RG
concèntricament, RG
condecentment, RG
condemnadament, RG
condensadament, RG
condescendentment, RG
condicionadament, RG
condicionalment, RG
condignament, RG
condretament, RG
confabuladament, RG
confederadament, RG
confessionalment, RG
confiadament, RG
confidencialment, RG
