coc € coure € VMIP1S00 € kˈɔk
coc € coc € NCMS000 € kˈok
Coca € Coca € NPCNSP0 € kˈokə
coca € coca € NCFS000 € kˈokə
coça € coça € NCFS000 € kˈɔsə
Coca-Cola € Coca-Cola € NPFSO00 € kˈokəkˈɔlə
coca-cola € coca-cola € NCFS000 € kˈokəkˈɔlə
cocaïna € cocaïna € NCFS000 € kukəˈinə
cocaïnes € cocaïna € NCFP000 € kukəˈinəs
cocaínic € cocaínic € AQ0MS0 € kukəˈinik
cocaínica € cocaínic € AQ0FS0 € kukəˈinikə
cocaínics € cocaínic € AQ0MP0 € kukəˈiniks
cocaíniques € cocaínic € AQ0FP0 € kukəˈinikəs
cocaïnisme € cocaïnisme € NCMS000 € kukəinˈizmə
cocaïnismes € cocaïnisme € NCMP000 € kukəinˈizməs
cocaïnòman € cocaïnòman € AQ0MS0 € kukəinˈɔmən
cocaïnòman € cocaïnòman € NCMS000 € kukəinˈɔmən
cocaïnòmana € cocaïnòman € AQ0FS0 € kukəinˈɔmənə
cocaïnòmana € cocaïnòman € NCFS000 € kukəinˈɔmənə
cocaïnòmanes € cocaïnòman € AQ0FP0 € kukəinˈɔmənəs
cocaïnòmanes € cocaïnòman € NCFP000 € kukəinˈɔmənəs
cocaïnomania € cocaïnomania € NCFS000 € kukəinumənˈiə
cocaïnomanies € cocaïnomania € NCFP000 € kukəinumənˈiəs
cocaïnòmans € cocaïnòman € AQ0MP0 € kukəinˈɔməns
cocaïnòmans € cocaïnòman € NCMP000 € kukəinˈɔməns
cocarroi € cocarroi € NCMS000 € kukərˈɔj
cocarrois € cocarroi € NCMP000 € kukərˈɔjs
cocatedral € cocatedral € NCFS000 € kˌokətəðɾˈal
cocatedrals € cocatedral € NCFP000 € kukətəðɾˈals
còccic € còccic € AQ0MS0 € kˈɔksik
còccica € còccic € AQ0FS0 € kˈɔksikə
còccics € còccic € AQ0MP0 € kˈɔksiks
còccid € còccid € NCMS000 € kˈɔksit
coccidi € coccidi € NCMS000 € kuksˈiði
coccidioides € coccidioide € NCMP000 € kuksiðiˈɔjðəs
coccidioidomicosi € coccidioidomicosi € NCFS000 € kuksiðiujðumikˈɔzi
coccidiosi € coccidiosi € NCFS000 € kuksiðiˈɔzi
coccidiosis € coccidiosi € NCFP000 € kuksiðiˈɔzis
coccidis € coccidi € NCMP000 € kuksˈiðis
còccids € còccid € NCMP000 € kˈɔksits
coccigeal € coccigeal € AQ0CS0 € kuksiʒeˈal
coccigeals € coccigeal € AQ0CP0 € kuksiʒeˈals
coccigi € coccigi € AQ0MS0 € kuksˈiʒi
coccígia € coccigi € AQ0FS0 € kuksˈiʒiə
coccígies € coccigi € AQ0FP0 € kuksˈiʒiəs
coccigis € coccigi € AQ0MP0 € kuksˈiʒis
coccigodínia € coccigodínia € NCFS000 € kuksiɣuðˈiniə
coccinel·la € coccinel·la € NCFS000 € kuksinˈɛllə
coccinel·les € coccinel·la € NCFP000 € kuksinˈɛlləs
coccinèl·lid € coccinèl·lid € NCMS000 € kuksinˈɛllit
coccinèl·lids € coccinèl·lid € NCMP000 € kuksinˈɛllits
coccini € coccini € AQ0MS0 € kuksˈini
coccínia € coccini € AQ0FS0 € kuksˈiniə
coccínies € coccini € AQ0FP0 € kuksˈiniəs
coccinis € coccini € AQ0MP0 € kuksˈinis
cocció € cocció € NCFS000 € kuksiˈo
coccions € cocció € NCFP000 € kuksiˈons
còcciques € còccic € AQ0FP0 € kˈɔksikəs
còccix € còccix € NCMS000 € kˈɔksiks
còccixs € còccix € NCMP000 € kˈɔksikss
coccobacil € coccobacil € NCMS000 € kukkuβəsˈil
coccoide € coccoide € AQ0CS0 € kukkˈɔjðə
coccoides € coccoide € AQ0CP0 € kukkˈɔjðəs
coccòlit € coccòlit € NCMS000 € kukkˈɔlit
coccolitoforal € coccolitoforal € NCFS000 € kukkulitufuɾˈal
coccolitoforals € coccolitoforal € NCFP000 € kukkulitufuɾˈals
coccòlits € coccòlit € NCMP000 € kukkˈɔlits
Cocentaina € Cocentaina € NPFSG00 € kusəntˈajnə
cocentainer € cocentainer € AQ0MS0 € kusəntəjnˈe
cocentainer € cocentainer € NCMS000 € kusəntəjnˈe
cocentainera € cocentainer € AQ0FS0 € kusəntəjnˈeɾə
cocentainera € cocentainer € NCFS000 € kusəntəjnˈeɾə
cocentaineres € cocentainer € AQ0FP0 € kusəntəjnˈeɾəs
cocentaineres € cocentainer € NCFP000 € kusəntəjnˈeɾəs
cocentainers € cocentainer € AQ0MP0 € kusəntəjnˈes
cocentainers € cocentainer € NCMP000 € kusəntəjnˈes
coces € coces € NCFP000 € kˈosəs
coces € coça € NCFP000 € kˈosəs
Cochabamba € Cochabamba € NPCSG00 € kutʃəβˈambə
Cochin € Cochin € NPCSG00 € kˈɔtʃin
Cocit € Cocit € NPCSG00 € kusˈit
Coclé € Coclé € NPCSG00 € kuklˈe
còclea € còclea € NCFS000 € kˈɔkleə
coclear € coclear € AQ0CS0 € kukleˈar
cocleària € cocleària € NCFS000 € kukleˈaɾiə
cocleàries € cocleària € NCFP000 € kukleˈaɾiəs
cocleariforme € cocleariforme € AQ0CS0 € kukleəɾifˈormə
cocleariformes € cocleariforme € AQ0CP0 € kukleəɾifˈorməs
coclears € coclear € AQ0CP0 € kukleˈars
còclees € còclea € NCFP000 € kˈɔkleəs
Coco € Coco € NPCSG00 € kˈoku
coco € coco € NCMS000 € kˈoku
cocó € cocó € NCMS000 € kukˈo
cocodril € cocodril € NCMS000 € kukuðɾˈil
cocodrils € cocodril € NCMP000 € kukuðɾˈils
coconada € coconada € NCFS000 € kukunˈaðə
cocons € cocó € NCMP000 € kukˈons
Cocos € Cocos € NPCSG00 € kˈokus
cocos € coco € NCMP000 € kˈokus
cocota € cocota € NCFS000 € kukˈɔtə
cocotar € cocotar € NCMS000 € kukutˈa
cocotars € cocotar € NCMP000 € kukutˈas
cocoter € cocoter € NCMS000 € kukutˈe
cocoters € cocoter € NCMP000 € kukutˈes
cocotes € cocota € NCFP000 € kukˈɔtəs
cocotxa € cocotxa € NCFS000 € kukˈɔtʃə
cocotxes € cocotxa € NCFP000 € kukˈɔtʃəs
cocou € cocou € NCMS000 € kukˈɔw
cocouada € cocouada € NCFS000 € kukɔwˈaðə
cocouades € cocouada € NCFP000 € kukɔwˈaðəs
cocouer € cocouer € NCMS000 € kukɔwˈe
cocouera € cocouer € NCFS000 € kukɔwˈeɾə
cocoueres € cocouer € NCFP000 € kukɔwˈeɾəs
cocouers € cocouer € NCMP000 € kukɔwˈes
cocous € cocou € NCMP000 € kukˈɔws
cocreació € cocreació € NCFS000 € kukɾeəsiˈo
cocs € coc € NCMP000 € kˈɔks
cocs € coc € NCMP000 € kˈoks
Cocteau € Cocteau € NPCNSP0 € kukteˈaw
còctel € còctel € NCMS000 € kˈɔktəl
coctelera € coctelera € NCFS000 € kuktəlˈeɾə
cocteleres € coctelera € NCFP000 € kuktəlˈeɾəs
cocteleria € cocteleria € NCFS000 € kuktələɾˈiə
cocteleries € cocteleria € NCFP000 € kuktələɾˈiəs
còctels € còctel € NCMP000 € kˈɔktəls
còcul € còcul € NCMS000 € kˈɔkul
còculs € còcul € NCMP000 € kˈɔkuls
coda € coda € NCFS000 € kˈɔðə
Codalet € Codalet € NPCSG00 € kuðəlˈɛt
codaletès € codaletès € AQ0MS0 € kuðələtˈɛs
codaletès € codaletès € NCMS000 € kuðələtˈɛs
codaletesa € codaletès € AQ0FS0 € kuðələtˈɛzə
codaletesa € codaletès € NCFS000 € kuðələtˈɛzə
codast € codast € NCMS000 € kuðˈast
codastos € codast € NCMP000 € kuðˈastus
codasts € codast € NCMP000 € kuðˈasts
còdec € còdec € NCMS000 € kˈɔðək
còdecs € còdec € NCMP000 € kˈɔðəks
codeïna € codeïna € NCFS000 € kuðəˈinə
codeïnes € codeïna € NCFP000 € kuðəˈinəs
coder € coder € NCMS000 € kuðˈe
codera € codera € NCFS000 € kuðˈeɾə
Coderc € Coderc € NPCNSP0 € kuðˈɛrk
coderes € codera € NCFP000 € kuðˈeɾəs
coders € coder € NCMP000 € kuðˈes
codes € coda € NCFP000 € kˈɔðəs
còdex € còdex € NCMS000 € kˈɔðəks
còdexs € còdex € NCMP000 € kˈɔðəkss
codi € codi € NCMS000 € kˈɔði
codicil € codicil € NCMS000 € kuðisˈil
codicils € codicil € NCMP000 € kuðisˈils
codicil·la € codicil·lar € VMIP3S00 € kuðisˈillə
codicil·la € codicil·lar € VMM02S00 € kuðisˈillə
codicil·là € codicil·lar € VMIS3S00 € kuðisillˈa
codicil·lada € codicil·lar € VMP00SF0 € kuðisillˈaðə
codicil·lades € codicil·lar € VMP00PF0 € kuðisillˈaðəs
codicil·lant € codicil·lant € NCCS000 € kuðisillˈan
codicil·lant € codicil·lar € VMG00000 € kuðisillˈan
codicil·lants € codicil·lant € NCCP000 € kuðisillˈans
codicil·lar € codicil·lar € AQ0CS0 € kuðisillˈa
codicil·lar € codicil·lar € VMN00000 € kuðisillˈa
codicil·larà € codicil·lar € VMIF3S00 € kuðisilləɾˈa
codicil·laran € codicil·lar € VMIF3P00 € kuðisilləɾˈan
codicil·laràs € codicil·lar € VMIF2S00 € kuðisilləɾˈas
codicil·laré € codicil·lar € VMIF1S00 € kuðisilləɾˈe
codicil·larem € codicil·lar € VMIF1P00 € kuðisilləɾˈɛm
codicil·làrem € codicil·lar € VMIS1P00 € kuðisillˈaɾəm
codicil·laren € codicil·lar € VMIS3P00 € kuðisillˈaɾən
codicil·lares € codicil·lar € VMIS2S00 € kuðisillˈaɾəs
codicil·lareu € codicil·lar € VMIF2P00 € kuðisilləɾˈɛw
codicil·làreu € codicil·lar € VMIS2P00 € kuðisillˈaɾəw
codicil·laria € codicil·lar € VMCC1S00 € kuðisilləɾˈiə
codicil·laríem € codicil·lar € VMCC1P00 € kuðisilləɾˈiəm
codicil·larien € codicil·lar € VMCC3P00 € kuðisilləɾˈiən
codicil·laries € codicil·lar € VMCC2S00 € kuðisilləɾˈiəs
codicil·laríeu € codicil·lar € VMCC2P00 € kuðisilləɾˈiəw
codicil·lars € codicil·lar € AQ0CP0 € kuðisillˈas
codicil·lat € codicil·lar € VMP00SM0 € kuðisillˈat
codicil·lats € codicil·lar € VMP00PM0 € kuðisillˈats
codicil·lava € codicil·lar € VMII1S00 € kuðisillˈaβə
codicil·làvem € codicil·lar € VMII1P00 € kuðisillˈaβəm
codicil·laven € codicil·lar € VMII3P00 € kuðisillˈaβən
codicil·laves € codicil·lar € VMII2S00 € kuðisillˈaβəs
codicil·làveu € codicil·lar € VMII2P00 € kuðisillˈaβəw
codicil·lem € codicil·lar € VMIP1P00 € kuðisillˈɛm
codicil·lem € codicil·lar € VMM01P00 € kuðisillˈɛm
codicil·lem € codicil·lar € VMSP1P00 € kuðisillˈɛm
codicil·len € codicil·lar € VMIP3P00 € kuðisˈillən
codicil·les € codicil·lar € VMIP2S00 € kuðisˈilləs
codicil·lés € codicil·lar € VMSI1S01 € kuðisillˈes
codicil·léssim € codicil·lar € VMSI1P02 € kuðisillˈesim
codicil·lessin € codicil·lar € VMSI3P02 € kuðisillˈesin
codicil·lessis € codicil·lar € VMSI2S02 € kuðisillˈesis
codicil·léssiu € codicil·lar € VMSI2P02 € kuðisillˈesiw
codicil·leu € codicil·lar € VMIP2P00 € kuðisillˈɛw
codicil·leu € codicil·lar € VMM02P0X € kuðisillˈɛw
codicil·leu € codicil·lar € VMSP2P00 € kuðisillˈɛw
codicil·li € codicil·lar € VMM03S0Y € kuðisˈilli
codicil·li € codicil·lar € VMSP1S0Y € kuðisˈilli
codicil·lí € codicil·lar € VMIS1S00 € kuðisillˈi
codicil·lin € codicil·lar € VMM03P0Y € kuðisˈillin
codicil·lin € codicil·lar € VMSP3P0Y € kuðisˈillin
codicil·lis € codicil·lar € VMSP2S0Y € kuðisˈillis
codicil·lo € codicil·lar € VMIP1S0C € kuðisˈillu
codicòleg € codicòleg € NCMS000 € kuðikˈɔlək
codicòlegs € codicòleg € NCMP000 € kuðikˈɔləks
codicòloga € codicòleg € NCFS000 € kuðikˈɔluɣə
codicologia € codicologia € NCFS000 € kuðikuluʒˈiə
codicològic € codicològic € AQ0MS0 € kuðikulˈɔʒik
codicològica € codicològic € AQ0FS0 € kuðikulˈɔʒikə
codicològics € codicològic € AQ0MP0 € kuðikulˈɔʒiks
codicologies € codicologia € NCFP000 € kuðikuluʒˈiəs
codicològiques € codicològic € AQ0FP0 € kuðikulˈɔʒikəs
codicòlogues € codicòleg € NCFP000 € kuðikˈɔluɣəs
codifica € codificar € VMIP3S00 € kuðifˈikə
codifica € codificar € VMM02S00 € kuðifˈikə
codificà € codificar € VMIS3S00 € kuðifikˈa
codificació € codificació € NCFS000 € kuðifikəsiˈo
codificacions € codificació € NCFP000 € kuðifikəsiˈons
codificada € codificar € VMP00SF0 € kuðifikˈaðə
codificades € codificar € VMP00PF0 € kuðifikˈaðəs
codificador € codificador € AQ0MS0 € kuðifikəðˈo
codificador € codificador € NCMS000 € kuðifikəðˈo
codificadora € codificador € AQ0FS0 € kuðifikəðˈoɾə
codificadora € codificador € NCFS000 € kuðifikəðˈoɾə
codificadores € codificador € AQ0FP0 € kuðifikəðˈoɾəs
codificadores € codificador € NCFP000 € kuðifikəðˈoɾəs
codificadors € codificador € AQ0MP0 € kuðifikəðˈos
codificadors € codificador € NCMP000 € kuðifikəðˈos
codificant € codificar € VMG00000 € kuðifikˈan
codificar € codificar € VMN00000 € kuðifikˈa
codificarà € codificar € VMIF3S00 € kuðifikəɾˈa
codificaran € codificar € VMIF3P00 € kuðifikəɾˈan
codificaràs € codificar € VMIF2S00 € kuðifikəɾˈas
codificaré € codificar € VMIF1S00 € kuðifikəɾˈe
codificarem € codificar € VMIF1P00 € kuðifikəɾˈɛm
codificàrem € codificar € VMIS1P00 € kuðifikˈaɾəm
codificaren € codificar € VMIS3P00 € kuðifikˈaɾən
codificares € codificar € VMIS2S00 € kuðifikˈaɾəs
codificareu € codificar € VMIF2P00 € kuðifikəɾˈɛw
codificàreu € codificar € VMIS2P00 € kuðifikˈaɾəw
codificaria € codificar € VMCC1S00 € kuðifikəɾˈiə
codificaríem € codificar € VMCC1P00 € kuðifikəɾˈiəm
codificarien € codificar € VMCC3P00 € kuðifikəɾˈiən
codificaries € codificar € VMCC2S00 € kuðifikəɾˈiəs
codificaríeu € codificar € VMCC2P00 € kuðifikəɾˈiəw
codificat € codificar € VMP00SM0 € kuðifikˈat
codificats € codificar € VMP00PM0 € kuðifikˈats
codificava € codificar € VMII1S00 € kuðifikˈaβə
codificàvem € codificar € VMII1P00 € kuðifikˈaβəm
codificaven € codificar € VMII3P00 € kuðifikˈaβən
codificaves € codificar € VMII2S00 € kuðifikˈaβəs
codificàveu € codificar € VMII2P00 € kuðifikˈaβəw
codifico € codificar € VMIP1S0C € kuðifˈiku
codifiquem € codificar € VMIP1P00 € kuðifikˈɛm
codifiquem € codificar € VMM01P00 € kuðifikˈɛm
codifiquem € codificar € VMSP1P00 € kuðifikˈɛm
codifiquen € codificar € VMIP3P00 € kuðifˈikən
codifiques € codificar € VMIP2S00 € kuðifˈikəs
codifiqués € codificar € VMSI1S01 € kuðifikˈes
codifiquéssim € codificar € VMSI1P02 € kuðifikˈesim
codifiquessin € codificar € VMSI3P02 € kuðifikˈesin
codifiquessis € codificar € VMSI2S02 € kuðifikˈesis
codifiquéssiu € codificar € VMSI2P02 € kuðifikˈesiw
codifiqueu € codificar € VMIP2P00 € kuðifikˈɛw
codifiqueu € codificar € VMM02P0X € kuðifikˈɛw
codifiqueu € codificar € VMSP2P00 € kuðifikˈɛw
codifiqui € codificar € VMM03S0Y € kuðifˈiki
codifiqui € codificar € VMSP1S0Y € kuðifˈiki
codifiquí € codificar € VMIS1S00 € kuðifikˈi
codifiquin € codificar € VMM03P0Y € kuðifˈikin
codifiquin € codificar € VMSP3P0Y € kuðifˈikin
codifiquis € codificar € VMSP2S0Y € kuðifˈikis
codillo € codillo € NCMS000 € kuðˈiʎu
codillos € codillo € NCMP000 € kuðˈiʎus
Codina € Codina € NPCNSP0 € kuðˈinə
codina € codina € NCFS000 € kuðˈinə
Codinac € Codinac € NPCNSP0 € kuðinˈak
codinar € codinar € NCMS000 € kuðinˈa
codinars € codinar € NCMP000 € kuðinˈas
codinenc € codinenc € AQ0MS0 € kuðinˈɛŋ
codinenc € codinenc € NCMS000 € kuðinˈɛŋ
codinenca € codinenc € AQ0FS0 € kuðinˈɛŋkə
codinenca € codinenc € NCFS000 € kuðinˈɛŋkə
codinera € codinera € NCFS000 € kuðinˈeɾə
codineres € codinera € NCFP000 € kuðinˈeɾəs
codines € codina € NCFP000 € kuðˈinəs
codis € codi € NCMP000 € kˈɔðis
codís € codís € NCMS000 € kuðˈis
codissos € codís € NCMP000 € kuðˈisus
Codó € Codó € NPCNSP0 € kuðˈo
codó € codó € NCMS000 € kuðˈo
Còdol € Còdol € NPCNSP0 € kˈɔðul
còdol € còdol € NCMS000 € kˈɔðul
codolada € codolada € NCFS000 € kuðulˈaðə
codolades € codolada € NCFP000 € kuðulˈaðəs
Codolar € Codolar € NPCNSP0 € kuðulˈa
codolar € codolar € NCMS000 € kuðulˈa
codolars € codolar € NCMP000 € kuðulˈas
codolell € codolell € NCMS000 € kuðulˈeʎ
codolells € codolell € NCMP000 € kuðulˈeʎs
codolenc € codolenc € AQ0MS0 € kuðulˈɛŋ
codolenca € codolenc € AQ0FS0 € kuðulˈɛŋkə
codolencs € codolenc € AQ0MP0 € kuðulˈɛŋs
codolenques € codolenc € AQ0FP0 € kuðulˈɛŋkəs
codolí € codolí € NCMS000 € kuðulˈi
codolins € codolí € NCMP000 € kuðulˈins
codolla € codolla € NCFS000 € kuðˈɔʎə
codolles € codolla € NCFP000 € kuðˈɔʎəs
codolós € codolós € AQ0MS0 € kuðulˈos
codolosa € codolós € AQ0FS0 € kuðulˈozə
codoloses € codolós € AQ0FP0 € kuðulˈozəs
codolosos € codolós € AQ0MP0 € kuðulˈozus
còdols € còdol € NCMP000 € kˈɔðuls
