Sostres € Sostres € NPCNSP0 € sˈɔstɾəs
sostres € sostrar € VMIP2S00 € sˈɔstɾəs
sostres € sostre € NCMP000 € sˈɔstɾəs
sostrés € sostrar € VMSI1S01 € sustɾˈes
sostréssim € sostrar € VMSI1P02 € sustɾˈesim
sostressin € sostrar € VMSI3P02 € sustɾˈesin
sostressis € sostrar € VMSI2S02 € sustɾˈesis
sostréssiu € sostrar € VMSI2P02 € sustɾˈesiw
sostret € sostreure € VMP00SM0 € sustɾˈet
sostreta € sostreta € NCFS000 € sustɾˈetə
sostreta € sostreure € VMP00SF0 € sustɾˈetə
sostretes € sostreta € NCFP000 € sustɾˈetəs
sostretes € sostreure € VMP00PF0 € sustɾˈetəs
sostrets € sostreure € VMP00PM0 € sustɾˈets
sostreu € sostrar € VMIP2P00 € sustɾˈɛw
sostreu € sostrar € VMM02P0X € sustɾˈɛw
sostreu € sostrar € VMSP2P00 € sustɾˈɛw
sostreu € sostreure € VMIP3S00 € sustɾˈɛw
sostreu € sostreure € VMM02S00 € sustɾˈɛw
sostreuen € sostreure € VMIP3P00 € sustɾˈɛwən
sostreure € sostreure € VMN00000 € sustɾˈɛwɾə
sostreus € sostreure € VMIP2S00 € sustɾˈɛws
sostri € sostrar € VMM03S0Y € sˈɔstɾi
sostri € sostrar € VMSP1S0Y € sˈɔstɾi
sostrí € sostrar € VMIS1S00 € sustɾˈi
sostrin € sostrar € VMM03P0Y € sˈɔstɾin
sostrin € sostrar € VMSP3P0Y € sˈɔstɾin
sostris € sostrar € VMSP2S0Y € sˈɔstɾis
sostro € sostrar € VMIP1S0C € sˈɔstɾu
sot € sot € NCMS000 € sˈɔt
sota € sota € ZRG € sˈotə
sota € sota € NCFS000 € sˈotə
sotabanc € sotabanc € NCMS000 € sˌotəβˈaŋ
sotabancs € sotabanc € NCMP000 € sˌotəβˈaŋs
sotabarba € sotabarba € NCMS000 € sˌotəβˈarβə
sotabarbes € sotabarba € NCMP000 € sˌotəβˈarβəs
sotabatà € sotabatà € NCMS000 € sˌotəβətˈa
sotabatans € sotabatà € NCMP000 € sˌotəβətˈans
sotabosc € sotabosc € NCMS000 € sˌotəβˈosk
sotaboscos € sotabosc € NCMP000 € sˌotəβˈoskus
sotaboscs € sotabosc € NCMP000 € sˌotəβˈosks
sotacinta € sotacinta € NCFS000 € sˌotəsˈintə
sotacintes € sotacinta € NCFP000 € sˌotəsˈintəs
sotacopa € sotacopa € NCFS000 € sˌotəkˈɔpə
sotacopes € sotacopa € NCFP000 € sˌotəkˈɔpəs
sotacor € sotacor € NCMS000 € sˌotəkˈo
sotacors € sotacor € NCMP000 € sˌotəkˈos
sotaescric € sotaescriure € VMIP1S00 € sˌotəeskɾˈik
sotaescrigué € sotaescriure € VMIS3S00 € sˌotəeskɾiɣˈe
sotaescriguem € sotaescriure € VMM01P00 € sˌotəeskɾiɣˈɛm
sotaescriguem € sotaescriure € VMSP1P00 € sˌotəeskɾiɣˈɛm
sotaescriguérem € sotaescriure € VMIS1P00 € sˌotəeskɾiɣˈeɾəm
sotaescrigueren € sotaescriure € VMIS3P00 € sˌotəeskɾiɣˈɛɾən
sotaescrigueres € sotaescriure € VMIS2S00 € sˌotəeskɾiɣˈeɾəs
sotaescriguéreu € sotaescriure € VMIS2P00 € sˌotəeskɾiɣˈeɾəw
sotaescrigués € sotaescriure € VMSI1S01 € sˌotəeskɾiɣˈes
sotaescriguéssim € sotaescriure € VMSI1P02 € sˌotəeskɾiɣˈesim
sotaescriguessin € sotaescriure € VMSI3P02 € sˌotəeskɾiɣˈesin
sotaescriguessis € sotaescriure € VMSI2S02 € sˌotəeskɾiɣˈesis
sotaescriguéssiu € sotaescriure € VMSI2P02 € sˌotəeskɾiɣˈesiw
sotaescrigueu € sotaescriure € VMSP2P00 € sˌotəeskɾiɣˈɛw
sotaescrigui € sotaescriure € VMM03S0Y € sˌotəeskɾˈiɣi
sotaescrigui € sotaescriure € VMSP1S0Y € sˌotəeskɾˈiɣi
sotaescriguí € sotaescriure € VMIS1S00 € sˌotəeskɾiɣˈi
sotaescriguin € sotaescriure € VMM03P0Y € sˌotəeskɾˈiɣin
sotaescriguin € sotaescriure € VMSP3P0Y € sˌotəeskɾˈiɣin
sotaescriguis € sotaescriure € VMSP2S0Y € sˌotəeskɾˈiɣis
sotaescrit € sotaescrit € NCMS000 € sˌotəeskɾˈit
sotaescrit € sotaescriure € VMP00SM0 € sˌotəeskɾˈit
sotaescrita € sotaescrit € NCFS000 € sˌotəeskɾˈitə
sotaescrita € sotaescriure € VMP00SF0 € sˌotəeskɾˈitə
sotaescrites € sotaescrit € NCFP000 € sˌotəeskɾˈitəs
sotaescrites € sotaescriure € VMP00PF0 € sˌotəeskɾˈitəs
sotaescrits € sotaescrit € NCMP000 € sˌotəeskɾˈits
sotaescrits € sotaescriure € VMP00PM0 € sˌotəeskɾˈits
sotaescriu € sotaescriure € VMIP3S00 € sˌotəeskɾˈiw
sotaescriu € sotaescriure € VMM02S00 € sˌotəeskɾˈiw
sotaescriuen € sotaescriure € VMIP3P00 € sˌotəeskɾˈiwən
sotaescriurà € sotaescriure € VMIF3S00 € sˌotəeskɾiwɾˈa
sotaescriuran € sotaescriure € VMIF3P00 € sˌotəeskɾiwɾˈan
