antixocs € antixocs € AQ0CN0 € əntiʃˈɔks
antizimòtic € antizimòtic € AQ0MS0 € ˌantizimˈɔtik
antizimòtic € antizimòtic € NCMS000 € ˌantizimˈɔtik
antizimòtica € antizimòtic € AQ0FS0 € ˌantizimˈɔtikə
antizimòtics € antizimòtic € AQ0MP0 € ˌantizimˈɔtiks
antizimòtics € antizimòtic € NCMP000 € ˌantizimˈɔtiks
antizimòtiques € antizimòtic € AQ0FP0 € ˌantizimˈɔtikəs
antocerota € antocerota € NCFS000 € əntusəɾˈɔtə
antocerotal € antocerotal € NCFS000 € əntusəɾutˈal
antocerotals € antocerotal € NCFP000 € əntusəɾutˈals
antocerotes € antocerota € NCFP000 € əntusəɾˈɔtəs
antocerotòpsids € antocerotòpsid € NCMP000 € əntusəɾutˈɔpsits
antocià € antocià € NCMS000 € əntusiˈa
antocianidina € antocianidina € NCFS000 € əntusiəniðˈinə
antocianina € antocianina € NCFS000 € əntusiənˈinə
antocianines € antocianina € NCFP000 € əntusiənˈinəs
antocians € antocià € NCMP000 € əntusiˈans
antodi € antodi € NCMS000 € əntˈɔði
antodis € antodi € NCMP000 € əntˈɔðis
antòfag € antòfag € AQ0MS0 € əntˈɔfək
antòfaga € antòfag € AQ0FS0 € əntˈɔfəɣə
Antofagasta € Antofagasta € NPCSG00 € əntufəɣˈastə
antòfags € antòfag € AQ0MP0 € əntˈɔfəks
antòfagues € antòfag € AQ0FP0 € əntˈɔfəɣəs
antòfil € antòfil € AQ0MS0 € əntˈɔfil
antòfila € antòfil € AQ0FS0 € əntˈɔfilə
antòfiles € antòfil € AQ0FP0 € əntˈɔfiləs
antòfils € antòfil € AQ0MP0 € əntˈɔfils
antofil·le € antofil·le € NCMS000 € əntufˈillə
antofil·les € antofil·le € NCMP000 € əntufˈilləs
antofil·lita € antofil·lita € NCFS000 € əntufillˈitə
antòfit € antòfit € NCMS000 € əntˈɔfit
antòfits € antòfit € NCMP000 € əntˈɔfits
antòfor € antòfor € NCMS000 € əntˈɔfur
antòfors € antòfor € NCMP000 € əntˈɔfurs
Antolí € Antolí € NPCNSP0 € əntulˈi
antologia € antologia € NCFS000 € əntuluʒˈiə
antològic € antològic € AQ0MS0 € əntulˈɔʒik
antològica € antològic € AQ0FS0 € əntulˈɔʒikə
antològica € antològica € NCFS000 € əntulˈɔʒikə
antològics € antològic € AQ0MP0 € əntulˈɔʒiks
antologies € antologia € NCFP000 € əntuluʒˈiəs
antològiques € antològic € AQ0FP0 € əntulˈɔʒikəs
antològiques € antològica € NCFP000 € əntulˈɔʒikəs
antologista € antologista € NCCS000 € əntuluʒˈistə
antomedusa € antomedusa € NCFS000 € əntuməðˈuzə
antòmid € antòmid € NCMS000 € əntˈɔmit
antòmids € antòmid € NCMP000 € əntˈɔmits
Anton € Anton € NPMSSP0 € əntˈɔn
Antonell € Antonell € NPCNSP0 € əntunˈeʎ
Antoni € Antoni € NPCNSP0 € əntˈɔni
Antoní € Antoní € NPMSSP0 € əntunˈi
antoní € antoní € AQ0MS0 € əntunˈi
antoní € antoní € NCMS000 € əntunˈi
antonià € antonià € AQ0MS0 € əntuniˈa
antonià € antonià € NCMS000 € əntuniˈa
Antònia € Antònia € NPFSSP0 € əntˈɔniə
antoniana € antonià € AQ0FS0 € əntuniˈanə
antoniana € antonià € NCFS000 € əntuniˈanə
antonianes € antonià € AQ0FP0 € əntuniˈanəs
antonianes € antonià € NCFP000 € əntuniˈanəs
antonians € antonià € AQ0MP0 € əntuniˈans
antonians € antonià € NCMP000 € əntuniˈans
antònim € antònim € AQ0MS0 € əntˈɔnim
antònim € antònim € NCMS000 € əntˈɔnim
antònima € antònim € AQ0FS0 € əntˈɔnimə
antònimes € antònim € AQ0FP0 € əntˈɔniməs
antonímia € antonímia € NCFS000 € əntunˈimiə
antonímies € antonímia € NCFP000 € əntunˈimiəs
antònims € antònim € AQ0MP0 € əntˈɔnims
antònims € antònim € NCMP000 € əntˈɔnims
Antonina € Antonina € NPFSSP0 € əntunˈinə
antonina € antoní € AQ0FS0 € əntunˈinə
antonines € antoní € AQ0FP0 € əntunˈinəs
antoninià € antoninià € NCMS000 € əntuniniˈa
antoninians € antoninià € NCMP000 € əntuniniˈans
Antonins € Antoní € NPMPSP0 € əntunˈins
antonins € antoní € AQ0MP0 € əntunˈins
antonins € antoní € NCMP000 € əntunˈins
Antonio € Antonio € NPMSSP0 € əntˈonjo
antonomàsia € antonomàsia € NCFS000 € əntunumˈaziə
antonomàsies € antonomàsia € NCFP000 € əntunumˈaziəs
antonomàstic € antonomàstic € AQ0MS0 € əntunumˈastik
antonomàstica € antonomàstic € AQ0FS0 € əntunumˈastikə
antonomàsticament € antonomàsticament € ZRG € əntunumˈastikəmˈen
antonomàstics € antonomàstic € AQ0MP0 € əntunumˈastiks
antonomàstiques € antonomàstic € AQ0FP0 € əntunumˈastikəs
Antony € Antony € NPCSG00 € əntˈoɲ
antosta € antosta € NCFS000 € əntˈɔstə
antostes € antosta € NCFP000 € əntˈɔstəs
antova € antova € NCFS000 € əntˈɔβə
antoves € antova € NCFP000 € əntˈɔβəs
antoxantina € antoxantina € NCFS000 € əntuksəntˈinə
antoxantines € antoxantina € NCFP000 € əntuksəntˈinəs
antozoari € antozoari € NCMS000 € əntuzuˈaɾi
antozou € antozou € NCMS000 € əntuzˈɔw
antozous € antozou € NCMP000 € əntuzˈɔws
antracè € antracè € NCMS000 € əntɾəsˈɛ
antracé € antracè € NCMS000 € əntɾəsˈe
antracens € antracè € NCMP000 € əntɾəsˈɛns
antràcic € antràcic € AQ0MS0 € əntɾˈasik
antràcica € antràcic € AQ0FS0 € əntɾˈasikə
antraciclina € antraciclina € NCFS000 € əntɾəsiklˈinə
antràcics € antràcic € AQ0MP0 € əntɾˈasiks
antràciques € antràcic € AQ0FP0 € əntɾˈasikəs
antracita € antracita € NCFS000 € əntɾəsˈitə
antracites € antracita € NCFP000 € əntɾəsˈitəs
antracític € antracític € AQ0MS0 € əntɾəsˈitik
antracítica € antracític € AQ0FS0 € əntɾəsˈitikə
antracítics € antracític € AQ0MP0 € əntɾəsˈitiks
antracítiques € antracític € AQ0FP0 € əntɾəsˈitikəs
antracitització € antracitització € NCFS000 € əntɾəsitidzəsiˈo
antracititzacions € antracitització € NCFP000 € əntɾəsitidzəsiˈons
antracnosi € antracnosi € NCFS000 € əntɾəɡnˈɔzi
antracnosis € antracnosi € NCFP000 € əntɾəɡnˈɔzis
antracologia € antracologia € NCFS000 € əntɾəkuluʒˈiə
