sis-cents € sis-cents € NCCN000 € sˈissˈens
Sisa € Sisa € NPCNSP0 € sˈizə
Sisak € Sisak € NPCSG00 € sizˈak
sisal € sisal € NCMS000 € sizˈal
sisals € sisal € NCMP000 € sizˈals
sisavada € sisavat € AQ0FS0 € sizəβˈaðə
sisavades € sisavat € AQ0FP0 € sizəβˈaðəs
sisavat € sisavat € AQ0MS0 € sizəβˈat
sisavats € sisavat € AQ0MP0 € sizəβˈats
sisca € sisca € NCFS000 € sˈiskə
siscall € siscall € NCMS000 € siskˈaʎ
siscalls € siscall € NCMP000 € siskˈaʎs
Siscar € Siscar € NPCNSP0 € siskˈa
siscar € siscar € NCMS000 € siskˈa
siscentista € siscentista € AQ0CS0 € sisəntˈistə
siscentistes € siscentista € AQ0CP0 € sisəntˈistəs
siscla € siscla € NCFS000 € sˈisklə
siscles € siscla € NCFP000 € sˈiskləs
sisè € sisè € AO0MS0 € sizˈɛ
sisé € sisè € AO0MS0 € sizˈe
Sisebut € Sisebut € NPMSSP0 € sizəβˈut
sisena € sisè € AO0FS0 € sizˈɛnə
Sisenand € Sisenand € NPMSSP0 € sizənˈan
sisenes € sisè € AO0FP0 € sizˈɛnəs
sisens € sisè € AO0MP0 € sizˈɛns
siset € siset € NCMS000 € sizˈɛt
siseta € siseta € NCFS000 € sizˈɛtə
sisetes € siseta € NCFP000 € sizˈɛtəs
sisets € siset € NCMP000 € sizˈɛts
Sísif € Sísif € NPMSSP0 € sˈizif
sisimbri € sisimbri € NCMS000 € sizˈimbɾi
Sisini € Sisini € NPMSSP0 € sizˈini
Sisley € Sisley € NPCNSP0 € sizlˈei
sisme € sisme € NCMS000 € sˈizmə
sismes € sisme € NCMP000 € sˈizməs
sísmic € sísmic € AQ0MS0 € sˈizmik
sísmica € sísmic € AQ0FS0 € sˈizmikə
sísmica € sísmica € NCFS000 € sˈizmikə
sismicitat € sismicitat € NCFS000 € sizmisitˈat
sismicitats € sismicitat € NCFP000 € sizmisitˈats
sísmics € sísmic € AQ0MP0 € sˈizmiks
sísmiques € sísmic € AQ0FP0 € sˈizmikəs
sísmiques € sísmica € NCFP000 € sˈizmikəs
sismisme € sismisme € NCMS000 € sizmˈizmə
sismismes € sismisme € NCMP000 € sizmˈizməs
sismoestratigrafia € sismoestratigrafia € NCFS000 € sizmuəstɾətiɣɾəfˈiə
sismoestratigrafies € sismoestratigrafia € NCFP000 € sizmuəstɾətiɣɾəfˈiəs
sismògraf € sismògraf € NCMS000 € sizmˈɔɣɾəf
sismografia € sismografia € NCFS000 € sizmuɣɾəfˈiə
sismogràfic € sismogràfic € AQ0MS0 € sizmuɣɾˈafik
sismogràfica € sismogràfic € AQ0FS0 € sizmuɣɾˈafikə
sismogràfics € sismogràfic € AQ0MP0 € sizmuɣɾˈafiks
sismografies € sismografia € NCFP000 € sizmuɣɾəfˈiəs
sismogràfiques € sismogràfic € AQ0FP0 € sizmuɣɾˈafikəs
sismògrafs € sismògraf € NCMP000 € sizmˈɔɣɾəfs
sismograma € sismograma € NCMS000 € sizmuɣɾˈamə
